name,alternatename,street,address,contact_no
森本倉庫東京事務所,モリモトソウコトウキョウジムショ,"Iwamotocho Station, Akihabara Station","岩本町3丁目11-15<br>Chiyoda, 東京都 〒<br>101-0032<br>Japan",03 3866 4921
アサヒトランクＢＯＸ,アサヒトランクボックス • Asahitorankuｂｏｘ,null,"朝日1丁目127<br>Kawaguchi, 埼玉県 〒<br>332-0001<br>Japan",048 222 3555
渋谷倉庫,シブヤソウコ,"Uguisudanicho, Shibuya Station","渋谷3丁目25-5<br>Shibuya, 東京都 〒<br>150-0002<br>Japan",03 3409 7211
平田倉庫江戸川営業所,ヒラタソウコエドガワエイギヨウシヨ,"Higashi-shinozaki, Minamishinozaki","東篠崎2丁目3-2<br>Edogawa, 東京都 〒<br>133-0063<br>Japan",03 5666 3831
中村鋼材倉庫機械工場,ナカムラコウザイソウコキカイコウジヨウ,"Osugi, Matsumoto","中央3丁目21-3<br>Edogawa, 東京都 〒<br>132-0021<br>Japan",03 3652 7462
富士物流本社,フジブツリユウホンシャ,Sengakuji Station,"三田3丁目10-1<br>Minato, 東京都 〒<br>108-0073<br>Japan",03 3454 8411
千葉金属常盤台倉庫,チバキンゾクトキワダイソウコ,Nakadai,"常盤台3丁目10-1<br>Itabashi, 東京都 〒<br>174-0071<br>Japan",03 3967 5452
池町運輸倉庫,イケマチウンユソウコ,Nishi-araidaishi-nishi Station,"西新井7丁目16-14<br>Adachi, 東京都 〒<br>123-0841<br>Japan",03 3896 5121
共栄社,キョウエイシャ,Tawaramachi Station,"西浅草1丁目5-5<br>Taitō, 東京都 〒<br>111-0035<br>Japan",03 3844 6427
カジタク,Kajitaku,null,"東雲2丁目14-41<br>Koto, 東京都 〒<br>135-0062<br>Japan",0120 52 5827
岩崎物流センター,イワサキブツリユウセンター • 岩崎物流Sentā,null,"領家3丁目4-23<br>Kawaguchi, 埼玉県 〒<br>332-0004<br>Japan",048 225 6311
丸臼興業,マルウスコウギヨウ,Higashi-mizumoto,"東水元2丁目33-13<br>Katsushika, 東京都 〒<br>125-0033<br>Japan",03 3608 2445
