name,alternatename,street,address,contact_no,,,
Morimoto warehouse Tokyo office,Morimoto Socco Tokyo,"Iwamotocho Station, Akihabara Station","Iwamoto cho 3 - chome 11 - 15 <br> Chiyoda, Tokyo Prefecture 101-0032 <br> Japan",03 3866 4921,,,
Asahi Trunk BOX,Asahi Trunk Box • Asahitorankubox,null,"Asahi 1 - chome 127 <br> Kawaguchi, Saitama Prefecture 332 - 0001 <br> Japan",048 222 3555,,,
Shibuya warehouse,Shibuya Soko,"Uguisudanicho, Shibuya Station","Shibuya 3 - chome 25-5 <br> Shibuya, Tokyo Prefecture 150-0002 <br> Japan",03 3409 7211,,,
Hirata Warehouse Edogawa Sales Office,Hirata Souso Ed Gawa Ai Guiyo,"Higashi-shinozaki, Minamishinozaki","Higashi Shinazaki 2 - chome 3 - 2 <br> Edogawa, Tokyo Prefecture 133-0063 <br> Japan",03 5666 3831,,,
Nakamura Steel Warehouse Machinery Factory,Nakamura koza otoko koikyo,"Osugi, Matsumoto","Central 3 - chome 21 - 3 <br> Edogawa, Tokyo Prefecture 132-0021 <br> Japan",03 3652 7462,,,
Fuji Logistics Office,Fuji Botuli Yu Honda,Sengakuji Station,"Mita 3 - chome 10 - 1 <br> Minato, Tokyo Prefecture 108-0073 <br> Japan",03 3454 8411,,,
Chiba Metal Tokiwadai warehouse,Ciba Kingfisher,Nakadai,"Tokiwadai 3 - chome 10-1 <br> Itabashi, Tokyo Prefecture 174-0071 <br> Japan",03 3967 5452,,,
Ikemachi Transportation Warehouse,Ike Machi Unayu Seoko,Nishi-araidaishi-nishi Station,"Nishiarai 7 - chome 16-14 <br> Adachi, Tokyo Prefecture 123-0841 <br> Japan",03 3896 5121,,,
Gongshe,Kyotoisha,Tawaramachi Station,"1 - chome Nishi Asakusa 5-5 <br> Taitō, Tokyo Prefecture 111-0035 <br> Japan",03 3844 6427,,,
Casualty,Kajitaku,null,"Shinonome 2 chome 14 - 41 <br> Koto, Tokyo Prefecture 135-0062 <br> Japan",0120 52 5827,,,
Iwasaki Distribution Center,Iwasaki Botti Yu Center • Iwasaki Logistics Sentā,null,"Ryoke 3 - chome 4 - 23 <br> Kawaguchi, Saitama Prefecture 332 - 0004 <br> Japan",048 225 6311,,,
Maruichi Shing,Marucus nigrum,Higashi-mizumoto,"Tohshimoto 2 chome 33-13 <br> Katsushika, Tokyo Prefecture 125 - 0033 <br> Japan",03 3608 2445,,,
Kadokawa Distribution Warehouse,Tsunokawa Ryuseutou,Minumadai-shinsuikōen Station,"Pillow 5 - chome 22 - 13 <br> Adachi, Tokyo Prefecture 121-0831 <br> Japan",03 3898 1740,,,
Alpha trunk Sangenjaya,Alpha trunk Sanggenchaya • Arufatoranku Sangenjaya,Kamiuma,"Shangma 2Chome 26-6 <br> Setagaya, Tokyo Metropolitan Government 154-0011 <br> Japan",03 3414 9940,,,
Hasegawa timber store warehouse,Hasegawa Zymok tenso,Kamiyoga,"Kamoga 3 - chome 8 - 18 <br> Setagaya, Tokyo Prefecture 158 - 0098 <br> Japan",03 3420 4493,,,
Wakasu Division,Wakasukyumebu,null,"Wakasu 2 - chome 3-7 <br> Koto, Tokyo Prefecture 136-0083 <br> Japan",03 3522 3337,,,
Koga Terminal,Kinoe terminal • Kiee Tāminaru,"Nishi-Shinbashi, Kasumigaseki Station","Nishi Shinbashi 1 - chome 1-3 <br> Minato, Tokyo Prefecture 105-0003 <br> Japan",03 3593 3035,,,
Raise Box · Raise Nishigutani Lysebox,Raise Box Rise Nishi Koujya Lysis Box • Raizebokkusu · Raize Nishigutani Raizebokkusu,null,"Nishigoya 2 - chome 10 - 22 <br> Ōta, Tokyo Prefecture 144 - 00334 <br> Japan",03 5735 1011,,,
Izawa,Izawa,null,"Higashi Nippori 6 - chome 9 - 12 <br> Arakawa, Tokyo Prefecture 116-0014 <br> Japan",03 3891 0234,,,
Yazaki Transportation Warehouse,Yazaki Unoyuko,Higashi-ikou,"Higashi Ikko 2 - chome 1 - 22 <br> Adachi, Tokyo Prefecture 121-0801 <br> Japan",03 3899 5999,,,
Ashizawa Shoji,Ashizawa Shiyoji • Ashizawa Shoji,null,"South Sea 7 - chome 12 - 4 <br> Koto, Tokyo Prefecture 136-0076 <br> Japan",03 3645 8111,,,
Taps Facility,Tappusufashiritī,"Akasakamitsuke Station, Nagatacho Station","2 - chome Nagatacho 10 - 7 <br> Chiyoda, Tokyo Metropolitan Government 〒 100-0014 <br> Japan",03 3539 2755,,,
Sannki Tokyo Distribution Center,Sankin Tokyo Bottles Yu Center • Sanji KK Tokyo Logistics Sentā,Osugi,"Central 4 - chome 22 - 15 <br> Edogawa, Tokyo Prefecture 132-0021 <br> Japan",03 3651 7281,,,
Taiko,Taiker,Osaki Station,"Osaki 3 - chome 6 - 11 <br> Shinagawa, Tokyo Prefecture 141-0032 <br> Japan",03 3490 1552,,,
Takemoto Oil Fat East Cloud Warehouse,Takemoto Yushi Sonome,null,"Shinonome 1 - chome 1010 <br> Koto, Tokyo Prefecture 135-0062 <br> Japan",03 3533 3436,,,
Taito warehouse,Flying tail,Uenosakuragi,"Ueno Sakuragi 2 - chome 4-6 <br> Taitō, Tokyo Prefecture 110-0002 <br> Japan",03 3821 5740,,,
Diamond Shokubutsu warehouse,Daiyoshi Kai Wakima Souko • Daiya Shoko Shimabara warehouse,"Ukima Funato Station, Ukima Funato Station","Uengama 5 - chome 10 - 4 <br> Kita, Tokyo Prefecture 115-0051 <br> Japan",03 3558 0260,,,
Yasuda Warehouse Land Transport Sales Division Trunk Room Group,Yasuda Seoko Rikuun Aigyo Bootroom Group • Yasuda Warehouse Land Transport Sales Division Torankurūmugurūpu,Shibaura-futo Station,"Coast 3 - chome 3-8 <br> Minato, Tokyo Prefecture 108-0022 <br> Japan",03 3452 7318,,,
Safeway,~ No Sēfuu,Shiratori,"Swan 4 - chome 5-11 <br> Katsushika, Tokyo Prefecture 125 - 0063 <br> Japan",03 3838 3071,,,
Nakahashi Shoji,Mr. Nakahazushi,"Takada, Omokagebashi Station","Takada 1 - chome 17 - 22 <br> Toshima, Tokyo Prefecture 171-0033 <br> Japan",03 3987 4041,,,
Kanto Distribution Center,Canton lew center • Kanto Distribution Sentā,Minamihanahata,"Minami-Flower 3-chome 361 <br> Adachi, Tokyo Metropolitan Government 〒 121 - 0022 <br> Japan",03 3884 1516,,,
Fuji Port Transportation Port Division Ariake Paper Warehouse Sales Office,Fujiko Ukoun Ugokubu Ariake Kami Souko Aoucho,null,"Ariake 4 - chome 5-3 <br> Koto, Tokyo Prefecture 135-0063 <br> Japan",03 3528 1381,,,
Kenzo Transportation Warehouse Kanto Division,Cornoriunyu Soko Canto Dijyoubu,Tokyo Station,"Nihonbashi 3 - chome 15-2 <br> Chūō, Tokyo Prefecture 103-0027 <br> Japan",03 3276 8100,,,
McBIX&#39,s Kawaguchi warehouse,McBeex Kawaguchi Souko • Makubikkusu Kawaguchi warehouse,null,"Yahei 4 - chome 9 - 6 <br> Kawaguchi, Saitama Prefecture 332 - 0002 <br> Japan",048 225 0577,,
Arai Metal Logistics Center,Arai Kinzaku Botuli Yu Center • Arai Metal Logistics Sentā,null,"Horikiri 7 - chome 20 - 6 <br> Katsushika, Tokyo Metropolitan Government 〒 124 - 0006 <br> Japan",03 3838 3705,,,
Alpha Trunk Sakurashinmachi,Alpha Trunk Sakura Shinmachi • Arufatoranku Sakurashinmachi,null,"Sakurashincho 2 - chome 14 - 2 <br> Setagaya, Tokyo Prefecture 154 - 0015 <br> Japan",03 3425 7661,,,
Senju Warehouse Wakasu Sales Office,Sengokuwakasu Awase,null,"Wakasu 2 - chome 6 - 6 <br> Koto, Tokyo Prefecture 136-0083 <br> Japan",03 5569 2251,,,
NU Logitech,Nurojitekku Nurojitekku,Mishuku,"Ikejiri 3 - chome 27 - 9 <br> Setagaya, Tokyo Prefecture 154-0001 <br> Japan",03 3413 1541,,,
Masumoto Wholesale Warehouse Building Alcohol Sales Dept.,Masumoto Oroshi Sokko Bilsi Uruui Han Vibe • Masumoto Wholesale Warehouse Biru Alcohol Sales Dept.,"Seibu Shinjuku Station, Shinjuku Nishiguchi Station, Okubo Station, Shinjuku Station","Nishi Shinjuku 7 - chome 4-3 <br> Shinjuku, Tokyo Prefecture 160-0023 <br> Japan",03 3369 1222,,,
Kamada Corporation Ukima Logistics Center,Kanda Corporation Ukima Butsuri Center • Kandakōporēshon Ukima Logistics Sentā,"Ukima Funato Station, Ukima Funato Station","Umeama 4 - chome 22-1 <br> Kita, Tokyo Prefecture 115-0051 <br> Japan",03 3966 3221,,,
Ohtius Horie Center,Otis Holly Center • Ōtīesu Horie Sentā,Seishincho,"Nankasai 3 - chome 8-14 <br> Edogawa, Tokyo Prefecture 134 - 0085 <br> Japan",03 3869 5051,,,
Yutto,Yutō,null,"Nitta 5-chome 63 <br> Ichikawa, Chiba Prefecture 272-0035 <br> Japan",047 325 1111,,,
Hashida Seongnam Sales Office,Ladybird,Nakaikegami,"仲池上2丁目315 <br> Ōta, Tokyo Metropolitan Government 146-0081 <br> Japan",03 3755 3651,,,
Wise intelligence,Waizuinterijensu,null,"Shinkawa 2 - chome 6 - 17 <br> Chūō, Tokyo Prefecture 104-0033 <br> Japan",03 3523 2550,,,
Kanto warehouse,Canto sauco,Ikejiriohashi Station,"Ikejiri 2 - chome 23-4 <br> Setagaya, Tokyo Prefecture 154-0001 <br> Japan",03 3424 0204,,,
Mikyo Trunk Inn,Sankyo Trunk Inn Ryo Goku • Sankei Torankuin Ryogoku,Ryogoku Station,"Both countries 1 - chome 18-1 <br> Sumida, Tokyo Prefecture 130-0026 <br> Japan",03 5638 6366,,,
Kawachi-en Garden Warehouse,Kawachi En Sokko,null,"Tsukiji 6 - chome 611 <br> Chūō, Tokyo Prefecture 104-0045 <br> Japan",03 3541 4188,,,
Oriental Transportation Warehouse,Toyo Yunyuko,"Nishi-Shinbashi, Kasumigaseki Station","Nishi Shinbashi 1 - chome 22 - 10 <br> Minato, Tokyo Prefecture 105-0003 <br> Japan",03 3503 4711,,,
Move up,Mūvuappu,Yoga Station,"Yoga 2 - chome 31 - 7 <br> Setagaya, Tokyo Prefecture 158 - 0097 <br> Japan",0120 86 1956,,,
Alpha trunk Azabujuban,Alpha trunk azabu ju van • Arufatoranku Azabujuban,"Akabanebashi Station, Azabujuban Station","Mita 1 - chome 6 - 7 <br> Minato, Tokyo Prefecture 108-0073 <br> Japan",03 5443 8066,,,
Asami Transportation Warehouse National Flight Center,Asami Unyu Seoko Zenkoku bin center • Asami Transportation warehouse nationwide Sentā,Fukazawa,"Fukasawa 4-chome 24 - 20 <br> Setagaya, Tokyo Prefecture 158-0081 <br> Japan",03 3705 4455,,,
"Inagawa Shoji Co., Ltd.",Inagawa Shiyouji,Kikukawa Station,"Fanbashi 1 - chome 13 - 2 <br> Koto, Tokyo Prefecture 135-0011 <br> Japan",03 3644 4127,,,
Mimaru warehouse,Mitsumaru Sugo,Healthy,"Sano 2 - chome 15 - 10 <br> Adachi, Tokyo Prefecture 121 - 0053 <br> Japan",03 3605 8721,,,
Tokyo Transportation Management,Koto Toukyou Tokyo,Minamisenju Station,"Minami-senju 2 - chome 30 - 10 <br> Arakawa, Tokyo Prefecture 116-0003 <br> Japan",03 3806 7521,,,
Town box,Taunbokkusu,null,"Nankasai 1 - chome 15 - 8 <br> Edogawa, Tokyo Prefecture 134 - 0085 <br> Japan",0120 19 4126,,,
Kaso Distribution Center,Kurashoubutsu Center • Kurashou Logistics Sentā,Higashi-shinmachi,"Toyoshimachi 2- chome 60-4 <br> Itabashi, Tokyo Prefecture 174-0074 <br> Japan",03 5965 4631,,,
Sunline,Sanrain,"Hozukacho, Nishi-kahei","Ichinoya 2 - chome 7 - 10 <br> Adachi, Tokyo Prefecture 121-0075 <br> Japan",03 3850 9801,,,
Yokohama Warehouse Sumida Sales Office,Yokohama Souko Sumida Aiyoosho,Tsutsumidori,"Tsutsumido 1 - chome 2-8 <br> Sumida, Tokyo Prefecture 131-0034 <br> Japan",03 3614 4321,,,
Yaman 3 warehouse Heights Sasazuka management room,Yamasan Southern Heights Sasa Duka Kanrinin Sits • Yama San Warehouse Haitsu Sasazuka Administration Room,"Sasazuka Station, Daitabashi Station","Sasazuka 1 - chome 62 - 7 <br> Shibuya, Tokyo Prefecture 151-0073 <br> Japan",03 3374 1290,,,
Space Products Rakuraku BOX Reception Center,Space Products Rakuchin Box Uke Tsuke Center • Supēsupurodakutsu Lucky Box Reception Sentā,Kojimachi Station,"Kojimachi 3 - chome 5-1 <br> Chiyoda, Tokyo Prefecture 102-0083 <br> Japan",03 3230 9642,,,
Lyze box liseze Iizuka Lysebox,Lyze box lyse イ イ ツ キ カ ラ イ ゼ ン ボ ッ ク • Raizebokkusuraize Iizuka Raizebokkusu,null,"Iizuka 3 - chome 9 - 7 <br> Kawaguchi, Saitama Prefecture 332 - 0023 <br> Japan",048 251 4207,,,
Goshima Transportation Warehouse,Goto Uunyuko,Iriya,"Iriya 7 - chome 15 - 6 <br> Adachi, Tokyo Prefecture 121-0836 <br> Japan",03 3855 6411,,,
Deep February Transportation Tokyo Shenzhen Sales Office,Mr. Nobuyuki Uyu Toukyū Shiten Fukagawa Ai guiyoyo,null,"Edogawa 1 - chome 7 - 15 <br> Koto, Tokyo Prefecture 135-0051 <br> Japan",03 3647 5611,,,
Houshou Fuhai third refrigerator,Housoui Toyomi Daisan Rei zoo · Housui Toyohashi 3rd refrigerator,null,"Toyohama-cho 8-19 <br> Chūō, Tokyo Prefecture 104-0055 <br> Japan",03 3533 1251,,,
Suzui Ooi General Logistics Center,Suzuyo Ooi Butsuri Center • Suzui Oi Comprehensive Logistics Sentā,null,"Tokai 4 - chome 9 - 3 <br> Ōta, Tokyo Prefecture 143-0001 <br> Japan",03 3799 4681,,,
Temporary store distribution service,Karaya Ryuutsu Service • Temporary store circulation Sābisu,Motoki,"Mainland 1 - chome 23 - 32 <br> Adachi, Tokyo Prefecture 123-0853 <br> Japan",03 3840 9795,,,
Japan Packaging Transportation Warehouse International Sales Dept.,Nippon Compoun Uwun Yuseo Kokokusai Agioubou,null,"Akashi-machi 6-17 <br> Chūō, Tokyo Prefecture 104-0044 <br> Japan",03 3546 3613,,,
Sumitomo Warehouse Tokyo Head Office International Operations Division International Operations Division,Sumitomo Sooko Tokyo Honkoshoi Mukuokkusai Gyoumaka,null,"Shinkawa 2 - chome 27-1 <br> Chūō, Tokyo Prefecture 104-0033 <br> Japan",03 3297 2517,,,
Japan Packing Transportation Warehouse Moving Sales Department,Nippon Compoun U U GO HOOKO,null,"Akashi-machi 6-17 <br> Chūō, Tokyo Prefecture 104-0044 <br> Japan",03 3541 5316,,,
Your space,Yuasupēsu,Jinbocho Station,"Kanda Jimbocho 1-chome 28 <br> Chiyoda, Tokyo Prefecture 101-0051 <br> Japan",03 3294 1180,,,
Emerging transport warehouse,Shinko Unayu Sou Cohosha,Shibaura-futo Station,"Coast 3 - chome 30-1 <br> Minato, Tokyo Prefecture 108-0022 <br> Japan",03 3453 6001,,,
Sumitomo warehouse Tokyo Heiwajima sales office second warehouse,Sumitomo Sooko Tokyo Citizen Heiwa Jima Aiyo Shoh Dyni Souko,null,"Heiwajima 5-chome 3-1 <br> Ōta, Tokyo Prefecture 143-0006 <br> Japan",03 3765 2811,,,
Dongling Enterprise Workshop,Dr. Giant Powder,null,"Tokai 4-chome 310 <br> Ōta, Tokyo Prefecture 143-0001 <br> Japan",03 3799 4785,,,
Adachi Adachi Sales Office,Tei Sau Adachi Aiyosho • Teisou Adachi Sales Office,Tonerikoen Station,"Iriya 6 - chome 2-11 <br> Adachi, Tokyo Prefecture 121-0836 <br> Japan",03 3855 3251,,,
Japan Transcity Tokyo Adachi Sales Office,Nihon Transititeitokiten Adachi Ai Guiyo • Japan Toransushiti Tokyo Adachi Sales Office,Tonerikoen Station,"Iriya 6 - chome 2-11 <br> Adachi, Tokyo Prefecture 121-0836 <br> Japan",03 3855 1801,,,
Tomizawa,Tomizawa,Kasai station,"Higasakasai 6 - chome 47 - 16 <br> Edogawa, Tokyo Prefecture 134 - 0084 <br> Japan",0120 86 8585,,,
Shimizu Transportation Warehouse,Shimizu Un Yu Seoko,Nishi-mizumoto,"Nishimizu 1 - chome 21 - 2 <br> Katsushika, Tokyo Prefecture 125-0031 <br> Japan",03 3607 6161,,,
Watanabe Distribution Kawaguchi Sales Office,Watanabe Ryuto Kawaguchi Aiyo Shoto • Watanabe Distribution Kawaguchi Sales Office,null,"Yahei 3 - chome 8 - 9 <br> Kawaguchi, Saitama Prefecture 332 - 0002 <br> Japan",048 223 7321,,,
Nakayama Tsusho Urayasu Warehouse,Nakayama Tsuru Urayasu Sokko,null,"Steel street 2 - chome 4-10 <br> Urayasu, Chiba Prefecture 279 - 0025 <br> Japan",047 351 1891,,,
Komiyama,Komiyama,Adachi-Odai Station,"Kobata 1 - chome 23 - 9 <br> Adachi, Tokyo Prefecture 120-0046 <br> Japan",03 3870 5511,,,
Deep mountain warehouse,Fukaya Mao Daisouko,Miyagi,"Miyagi 1 - chome 152 <br> Adachi, Tokyo Prefecture 120-0047 <br> Japan",03 3913 6611,,,
International warehouse transport department,Coconut sea cucumber,"Nishi-Shinbashi, Atago, Shinbashi Station","Nishi Shinbashi 2 - chome 5 - 2 <br> Minato, Tokyo Prefecture 105-0003 <br> Japan",03 3580 9234,,,
Treasure Harumi warehouse,Southern blue sky,null,"Harumi 4 - chome 4-3 <br> Chūō, Tokyo Prefecture 104-0053 <br> Japan",03 3533 8438,,,
Tomita warehouse,Tomita Souko • Tomita warehouse,If you do,"Ukida-cho 1408 <br> Edogawa, Tokyo Prefecture 134 - 0082 <br> Japan",03 3688 0181,,,
Marukuni Shinko Logistics Center,Maruin Sinonome Butsuri Center • Marugo Shinko Logistics Sentā,null,"Shinonome 2 - chome 5 - 25 <br> Koto, Tokyo Prefecture 135-0062 <br> Japan",03 3529 5211,,,
Ootani Shoji warehouse,Omote Iashi Yohji Sokko,null,"Fanbashi 3 - chome 9 - 8 <br> Koto, Tokyo Prefecture 135-0011 <br> Japan",03 3647 6157,,,
Kawamura Tsusho Higashidotada warehouse,Kawamura Tsuyoshi Higashi Sumida Sauko,Higashi-sumida,"Higashidasuda 2 - chome 24 - 14 <br> Sumida, Tokyo Prefecture 131-0042 <br> Japan",03 3612 3242,,,
Suzue Corporation Shibaura Sales Office,Suzue Corporation Shibaura Aegeoso • Suzue Kōporēshon Shibaura Sales Office,Shibaura-futo Station,"Coast 3 - chome 29-1 <br> Minato, Tokyo Prefecture 108-0022 <br> Japan",03 5484 4377,,,
Jingwang,Keiou,null,"Heiwajima 5-chome 8-4 <br> Ōta, Tokyo Prefecture 143-0006 <br> Japan",03 5471 1601,,,
Sawaki Shimbun 2 Warehouse,Sawakoshin Dini Souko,null,"Dongae House 1 - chome 13-2 <br> Kawaguchi, Saitama Prefecture 332 - 0003 <br> Japan",048 229 6891,,,
NIHON Materials Tokyo Logistics Center,Kaken Materials Tokyo Brewery Center • Kasei Materiaru Tokyo Logistics Sentā,null,"Shinkiba 2 - chome 5-8 <br> Koto, Tokyo Prefecture 136-0082 <br> Japan",03 3521 7439,,,
Japan Moving Warehouse,Nippon Hikoshi Souko,Nishi-Eifuku Station,"Hamadayama 3 - chome 6 - 16 <br> Suginami, Tokyo Prefecture 168 - 2006 <br> Japan",03 3313 1111,,,
"Igarashi Chill Oi, Logistics Center",Igarashi Lay Elephant Oui Butu Ryu Center • Igarashi Chilling Oi Logistics Sentā,null,"Tokai 5-chome 3 <br> Ōta, Tokyo Prefecture 143-0001 <br> Japan",03 3790 2201,,,
Village of metal warehouse,Muranaka Kinzoku Sokko,Kitaayase Station,"Yanaka 3 - chome 9 - 6 <br> Adachi, Tokyo Prefecture 120-0006 <br> Japan",03 3629 1567,,,
